_step,reward/mean
0,0.12016018782975002
1,0.12408305218537165
2,0.12541859680793221
3,0.12822494248621463
4,0.12743313055973277
5,0.12298696760745986
6,0.1270462360356014
7,0.13166391303948144
8,0.12556986420306596
9,0.1312616282232053
10,0.1281429490318138
11,0.12724564077289321
12,0.1306786179482466
13,0.123597326957993
14,0.13350953926832343
15,0.1234716625655138
16,0.12858685766266537
17,0.1293167508270624
18,0.132565455077722
19,0.13738085113253198
20,0.12315421441936884
21,0.1284085207974234
22,0.1332683326736545
23,0.13518529984513405
24,0.1269444546824154
25,0.137970495363212
26,0.13475339651197088
27,0.13259210566215568
28,0.13224715075675125
29,0.13195326549608244
30,0.12415031909569338
31,0.13668077143033133
32,0.1383324561202861
33,0.13705307753361068
34,0.14445790731922564
35,0.14149602712656523
36,0.14771807753669888
37,0.13797710035230273
38,0.14155630792057863
39,0.13209637170907096
40,0.14452029993054413
41,0.16190850283891442
42,0.14511644914661243
43,0.15676920453041643
44,0.16569784185703593
45,0.1553555565113803
46,0.1605367151992178
47,0.1566562750892509
48,0.17307013038900668
49,0.1895567847712324
50,0.18552036965540236
51,0.18202035559467528
52,0.17190704224638081
53,0.17966299326410667
54,0.160835092538438
55,0.1822591842242385
56,0.20822010551086084
57,0.20220052604970815
58,0.1827527451287118
59,0.18911936538877894
60,0.2095270269611617
61,0.20691414945189196
62,0.20671601095418032
63,0.23019596198157002
64,0.2123407279348899
65,0.22776613740358626
66,0.2207805307869901
67,0.1983569926035311
68,0.22911381703662934
69,0.23217647626623922
70,0.2291256310017995
71,0.23440182192209666
72,0.2139655108531099
73,0.19817188322454352
74,0.2116997192877091
75,0.2311290934915385
76,0.20472189289264822
77,0.2162071447326817
78,0.25925877325060454
79,0.23717139877857035
80,0.25681999974101255
81,0.2551715612722445
82,0.2836720491548126
83,0.2584025249311826
84,0.23376021010453402
85,0.25232118780357593
86,0.26668043443791944
87,0.28983983337342295
88,0.24310324659594515
89,0.268776114284073
90,0.2876307938462631
91,0.2479408383066654
92,0.27111540216492847
93,0.28650289855958316
94,0.276324508858747
95,0.2638007423472924
96,0.2578222219849038
97,0.2713564157887932
98,0.2723611539056075
99,0.24711195874150957
100,0.2598161684064598
101,0.2838686398803063
102,0.2794867692712305
103,0.29018627439819983
104,0.2765891769476628
105,0.27110077281453904
106,0.28310883526912006
107,0.2625642619012945
108,0.28551277825145754
109,0.29151939097943963
110,0.295574045944914
111,0.30075694469613884
112,0.2865133751912794
113,0.2757600866235933
114,0.29532241820035154
115,0.2996643199326176
116,0.3026432982685191
117,0.29579019506826787
118,0.2872915544471239
119,0.3031309629761493
120,0.2959065482319373
121,0.3086839375195317
122,0.2894752971459369
123,0.30339366195920053
124,0.29474277445801256
125,0.3121149690415832
126,0.2895922581744339
127,0.3171970638369777
128,0.3169133154125525
129,0.31107071133341546
130,0.2828624919411141
131,0.30637279501782255
132,0.3094127232016166
133,0.30270415800512324
134,0.3037616559406021
135,0.31379049259310154
136,0.3155251591381747
137,0.31322780841321474
138,0.30568637557842726
139,0.2924246204255636
140,0.2916492278767082
141,0.31239359009181566
142,0.2897459598732151
143,0.2950507447166695
144,0.3080087202475259
145,0.2916737798577165
146,0.3013932187687802
147,0.30194623691965217
148,0.31192084932487885
149,0.3069906536105589
150,0.29446828526749036
