_step,metrics/affix_reward
0,1.0
1,1.0
2,0.96875
3,0.9895833333333333
4,1.0
5,0.97265625
6,0.99609375
7,0.9947916666666667
8,1.0
9,0.97265625
10,1.0
11,1.0
12,0.9986979166666667
13,0.9876302083333334
14,0.9798177083333334
15,1.0
16,1.0
17,1.0
18,0.9622395833333334
19,0.984375
20,1.0
21,0.984375
22,1.0
23,0.984375
24,1.0
25,0.94921875
26,0.9830729166666667
27,1.0
28,0.970703125
29,0.96875
30,1.0
31,1.0
32,0.9609375
33,1.0
34,0.9791666666666667
35,1.0
36,0.9921875
37,0.986328125
38,0.9739583333333334
39,0.998046875
40,0.9908854166666666
41,0.986328125
42,0.984375
43,0.9856770833333333
44,0.98046875
45,1.0
46,1.0
47,1.0
48,0.96875
49,0.984375
50,0.994140625
51,0.93359375
52,0.9765625
53,0.9817708333333334
54,0.98828125
55,0.94921875
56,0.9596354166666667
57,0.984375
58,0.9778645833333333
59,0.974609375
60,1.0
61,0.9791666666666667
62,1.0
63,1.0
64,0.9921875
65,0.9251302083333333
66,0.98046875
67,1.0
68,1.0
69,0.96484375
70,0.984375
71,1.0
72,1.0
73,0.982421875
74,0.9375
75,1.0
76,0.98046875
77,0.9921875
78,0.98046875
79,1.0
80,0.984375
81,0.986328125
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,0.9049479166666667
88,0.98046875
89,0.875
90,0.953125
91,0.96875
92,0.9453125
93,0.919921875
94,0.96875
95,0.96875
96,0.96484375
97,0.9453125
98,0.99609375
99,0.9752604166666666
100,0.96875
101,0.96875
102,0.92578125
103,0.9921875
104,0.947265625
105,0.96875
106,0.97265625
107,0.9752604166666667
108,0.96875
109,1.0
110,0.97265625
111,1.0
112,0.9427083333333334
113,1.0
114,0.95703125
115,0.90234375
116,0.9173177083333334
117,0.9921875
118,0.962890625
119,1.0
120,1.0
121,0.9752604166666667
122,0.9563802083333334
123,0.951171875
124,0.98046875
125,0.96875
126,0.984375
127,0.9563802083333333
128,1.0
129,0.9583333333333333
130,0.98046875
131,0.970703125
132,0.984375
133,0.98828125
134,1.0
135,0.9739583333333333
136,1.0
137,0.96875
138,0.96875
139,0.919921875
140,0.984375
141,0.96875
142,0.9622395833333334
143,0.953125
144,1.0
145,0.95703125
146,0.96875
147,1.0
148,1.0
149,0.94140625
150,0.9127604166666666
151,0.978515625
152,0.9375
153,1.0
154,0.953125
155,0.947265625
156,0.94921875
157,0.96875
158,0.96875
159,0.94921875
160,1.0
