_step,unmasked_mismatch_kl/std,masked_mismatch_kl/mean,unmasked_mismatch_kl/min,unmasked_mismatch_kl/median,masked_mismatch_kl/median,masked_mismatch_kl/min,unmasked_mismatch_kl/mean,masked_mismatch_kl/std,mismatch_kl/max,masked_mismatch_kl/max,mismatch_kl/min,mismatch_kl/median,unmasked_mismatch_kl/max,mismatch_kl/mean,mismatch_kl/std
0,0.00024990682140924037,0.0,0.0,0.0010523488745093346,0.0,0.0,0.0010455669835209846,0.0,0.0016793044051155448,0.0,0.0,0.0010523488745093346,0.0016793044051155448,0.0010455669835209846,0.00024990682140924037
1,0.00026397930923849344,0.0,0.0,0.0010464092483744025,0.0,0.0,0.001053338055498898,0.0,0.0018456093966960907,0.0,0.0,0.0010464092483744025,0.0018456093966960907,0.001053338055498898,0.00026397930923849344
2,0.00022272055502980947,0.0,0.0,0.0010297866538167,0.0,0.0,0.001051439787261188,0.0,0.001787997200153768,0.0,0.0,0.0010297866538167,0.001787997200153768,0.001051439787261188,0.00022272055502980947
3,0.00022409649682231247,0.0,0.0,0.0011041245888918638,0.0,0.0,0.0010997041827067733,0.0,0.0018215366872027516,0.0,0.0,0.0011041245888918638,0.0018215366872027516,0.0010997041827067733,0.00022409649682231247
4,0.00023556934320367873,0.0,0.0,0.0011231274111196399,0.0,0.0,0.0011343148071318865,0.0,0.0018522723112255335,0.0,0.0,0.0011231274111196399,0.0018522723112255335,0.0011343148071318865,0.00023556934320367873
5,0.0004201899573672563,0.0,0.0,0.0013401912292465568,0.0,0.0,0.0014150528004392982,0.0,0.004555333871394396,0.0,0.0,0.0013401912292465568,0.004555333871394396,0.0014150528004392982,0.0004201899573672563
6,0.0004672719514928758,0.0,0.0,0.0014048594748601317,0.0,0.0,0.0014542588032782078,0.0,0.0037704340647906065,0.0,0.0,0.0014048594748601317,0.0037704340647906065,0.0014542588032782078,0.0004672719514928758
7,0.0006115072756074369,0.0,0.0,0.001419245614670217,0.0,0.0,0.0015454753302037716,0.0,0.004285587463527918,0.0,0.0,0.001419245614670217,0.004285587463527918,0.0015454753302037716,0.0006115072756074369
8,0.0006672691670246422,0.0,0.0008769408450461924,0.001737849903292954,0.0,0.0,0.0018437395337969065,0.0,0.007839889265596867,0.0,0.0008769408450461924,0.001737849903292954,0.007839889265596867,0.0018437395337969065,0.0006672691670246422
9,0.0008442517137154937,0.0,0.0,0.001988582545891404,0.0,0.0,0.0021532203536480665,0.0,0.007909649051725864,0.0,0.0,0.001988582545891404,0.007909649051725864,0.0021532203536480665,0.0008442517137154937
10,0.0016554560279473662,0.08189427852630615,0.00100178353022784,0.0026562411803752184,0.0,0.0,0.0030880486592650414,1.0359982252120972,0.0726407989859581,15.757038116455078,0.00100178353022784,0.0026562411803752184,0.016146084293723106,0.0034004910849034786,0.0046974653378129005
11,0.0019589816220104694,0.032951101660728455,0.0,0.0032225975301116705,0.0,0.0,0.0035932341124862432,0.36707884073257446,0.047385409474372864,5.5169572830200195,0.0,0.003232672344893217,0.017045259475708008,0.003793146926909685,0.0033667946700006723
12,0.0018090105149894953,0.004812364466488361,0.0,0.003373116487637162,0.0,0.0,0.0037422101013362408,0.07729801535606384,0.013739945366978645,1.2415900230407715,0.0,0.003373116487637162,0.013739945366978645,0.0037611019797623158,0.001832252717576921
13,0.002201204188168049,0.04248099774122238,0.0,0.003969543147832155,0.0,0.0,0.004425567574799061,0.2624831199645996,0.015116333030164242,2.1292200088500977,0.0,0.004042093176394701,0.015116333030164242,0.004554762039333582,0.0023777878377586603
14,0.0025887719821184874,0.13528822362422943,0.0,0.004208914469927549,0.0,0.0,0.004751566797494888,0.5485376715660095,0.018623288720846176,5.231081008911133,0.0,0.004428904037922621,0.017911415547132492,0.005206142086535692,0.0031847567297518253
15,0.0031724986620247364,0.16093993186950684,0.0,0.005163024179637432,0.0,0.0,0.0060049970634281635,0.653448224067688,0.02732415683567524,7.974455833435059,0.0,0.005355604458600283,0.02463635616004467,0.006499914918094873,0.0037596968468278646
16,0.00316809699870646,0.14796239137649536,0.0,0.005879041738808155,0.0,0.0,0.006494162604212761,0.5356338620185852,0.022527413442730904,4.966769695281982,0.0,0.00615389458835125,0.022527413442730904,0.00695383083075285,0.0035571095068007708
17,0.003777239006012678,0.2119755744934082,0.0,0.005969048477709293,0.0,0.0,0.006639711558818817,0.6489983797073364,0.03753755986690521,5.832975387573242,0.0,0.006377477198839188,0.03753755986690521,0.007324341218918562,0.004622684326022863
18,0.003827193286269903,0.4010102152824402,0.0,0.007955369539558887,0.0,0.0,0.00821585115045309,1.3125306367874146,0.04826441779732704,14.078109741210938,0.0,0.00851093977689743,0.023323874920606613,0.009477756917476654,0.005879553500562906
19,0.003924694377928972,0.365004301071167,0.0016949956770986319,0.008202007971704006,0.0,0.0,0.008907157927751541,1.0198757648468018,0.044382695108652115,8.106036186218262,0.0016949956770986319,0.009222912602126598,0.024342801421880722,0.01026867888867855,0.005936322268098593
20,0.004325855057686567,0.6488998532295227,0.0,0.010105796158313751,0.0,0.0,0.010348695330321789,1.669647216796875,0.04614174738526344,17.299684524536133,0.0,0.010938024148344994,0.02417740970849991,0.01258006226271391,0.007058505900204182
21,0.005150604527443647,0.9393253326416016,0.0,0.012210351414978504,0.0,0.0,0.012738420628011227,1.9922140836715698,0.06479725986719131,19.652009963989258,0.0,0.01465516071766615,0.03482804447412491,0.016525324434041977,0.009394138120114803
22,0.0057740830816328526,1.1499578952789307,0.0034665646962821484,0.013904702849686146,0.0,0.0,0.01467051263898611,4.0554914474487305,0.25649508833885193,60.852333068847656,0.0034665646962821484,0.017356375232338905,0.03823085501790047,0.019805312156677246,0.017848221585154533
